source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at,price_num,size_num,bedrooms_num,bathrooms_num,price_per_sqm,bed_bath_ratio
Property24,Sale,,KSh 17 500 000,"Rhapta Road Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926373,2026-02-17T14:48:58.550461,17.0,,,,,
Property24,Sale,,KSh 7 000 000,"Westlands Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116931463,2026-02-17T14:48:58.561127,7.0,,,,,
Property24,Sale,,KSh 24 600 000,"Muthangari Dr Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926045,2026-02-17T14:48:58.566793,24.0,,,,,
Property24,Sale,,KSh 31 000 000,"Muthangari Dr Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116926043,2026-02-17T14:48:58.570817,31.0,,,,,
Property24,Sale,,KSh 7 200 000,"Riverside Dr Nairobi, Riverside, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-riverside-116930246,2026-02-17T14:48:58.580268,7.0,,,,,
Property24,Sale,,KSh 5 500 000,"Kilimani Estate Kilimani, Kilimani, Nairobi",,,,,https://www.property24.co.ke/apartment-flat-for-sale-in-kilimani-116924925,2026-02-17T14:49:06.086712,5.0,,,,,
Property24,Sale,,KSh 7 000 000,"Westlands Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116931532,2026-02-17T14:49:06.115199,7.0,,,,,
Property24,Sale,,KSh 7 000 000,"Westlands Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-101758462,2026-02-17T14:49:06.132852,7.0,,,,,
Property24,Sale,,KSh 8 700 000,"Matundu Lane Spring Valley, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116927122,2026-02-17T14:49:06.151832,8.0,,,,,
Property24,Sale,,KSh 11 236 000,"School Ln Spring Valley, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116926501,2026-02-17T14:49:06.180474,11.0,,,,,
Property24,Sale,,KSh 6 200 000,"Rhapta Road Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116926419,2026-02-17T14:49:06.199862,6.0,,,,,
Property24,Sale,,KSh 12 300 000,"Rhapta Road Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116931159,2026-02-17T14:49:06.229734,12.0,,,,,
Property24,Sale,,KSh 12 300 000,"Rhapta Road Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116931146,2026-02-17T14:49:06.246680,12.0,,,,,
Property24,Sale,,KSh 9 000 000,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116923431,2026-02-17T14:49:06.277645,9.0,,,,,
