source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at
PigiaMe,Rent,5 bedroom house for rent in Kitisuru,"KSh 370,000","Kitisuru, Nairobi",5 bed,,,,,2026-02-17T14:55:54.732389
PigiaMe,Rent,4 Bed House with En Suite in Thigiri,"KSh 450,000","Westlands, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-house-with-en-suite-in-thigiri-6195980,2026-02-17T14:55:54.741611
PigiaMe,Rent,4 Bed House with En Suite in Thigiri,"KSh 450,000","Westlands, Nairobi",4 bed,,,,,2026-02-17T14:55:54.750018
PigiaMe,Rent,5-Bedroom Villa for Rent in Karen,"KSh 450,000","Karen, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bedroom-villa-for-rent-in-karen-6469337,2026-02-17T14:55:54.871729
PigiaMe,Rent,5-Bedroom Villa for Rent in Karen,"KSh 450,000","Karen, Nairobi",5 bed,,,,https://www.pigiame.co.ketel:+254755487104,2026-02-17T14:55:54.876242
PigiaMe,Rent,5-Bedroom Villa for Rent in Karen,"KSh 450,000","Karen, Nairobi",5 bed,,,,,2026-02-17T14:55:54.877526
PigiaMe,Rent,5 Bed House with En Suite in Runda,"KSh 1,200,000","Runda, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-house-with-en-suite-in-runda-6535344,2026-02-17T14:55:54.884280
PigiaMe,Rent,5 Bed House with En Suite in Runda,"KSh 1,200,000","Runda, Nairobi",5 bed,,,,,2026-02-17T14:55:54.888509
PigiaMe,Rent,Silver,"KSh 95,000","Kilimani, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/2-bed-apartment-with-en-suite-at-kilimani-near-yaya-6615815,2026-02-17T14:56:04.336934
PigiaMe,Rent,2 Bed Apartment with En Suite at Kilimani Near Yaya,"KSh 95,000","Kilimani, Nairobi",2 bed,,,,,2026-02-17T14:56:04.345513
PigiaMe,Rent,Silver,"KSh 105,000","Kileleshwa, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/2-bed-apartment-with-en-suite-in-kileleshwa-6386695,2026-02-17T14:56:04.455745
PigiaMe,Rent,2 Bed Apartment with En Suite in Kileleshwa,"KSh 105,000","Kileleshwa, Nairobi",2 bed,,,,,2026-02-17T14:56:04.463766
PigiaMe,Rent,Silver,"KSh 110,000","Westlands, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/2-bed-apartment-with-en-suite-at-lantana-road-6600922,2026-02-17T14:56:04.519928
PigiaMe,Rent,2 Bed Apartment with En Suite at Lantana Road,"KSh 110,000","Westlands, Nairobi",2 bed,,,,,2026-02-17T14:56:04.526654
PigiaMe,Rent,Silver,"KSh 500,000","Westlands, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-apartment-with-en-suite-in-westlands-area-6476598,2026-02-17T14:56:04.602545
PigiaMe,Rent,4 Bed Apartment with En Suite in Westlands Area,"KSh 500,000","Westlands, Nairobi",4 bed,,,,,2026-02-17T14:56:04.609526
PigiaMe,Rent,Silver,"KSh 200,000","Riverside, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/2-bed-apartment-with-en-suite-in-riverside-6443649,2026-02-17T14:56:04.685924
PigiaMe,Rent,2 Bed Apartment with En Suite in Riverside,"KSh 200,000","Riverside, Nairobi",2 bed,,,,,2026-02-17T14:56:04.698503
